,gene_id,database,kegg_id
2124,WA5_RS00840,KEGG_Pathway,map00562
2125,WA5_RS00840,KEGG_Pathway,map00640
2126,WA5_RS00840,KEGG_Pathway,map01100
2127,WA5_RS00840,KEGG_Pathway,map01200
2131,WA5_RS00845,KEGG_Pathway,map00562
2132,WA5_RS00845,KEGG_Pathway,map01100
2133,WA5_RS00845,KEGG_Pathway,map01120
2137,WA5_RS00850,KEGG_Pathway,map00562
2138,WA5_RS00850,KEGG_Pathway,map01100
2139,WA5_RS00850,KEGG_Pathway,map01120
2143,WA5_RS00855,KEGG_Pathway,map00562
2144,WA5_RS00855,KEGG_Pathway,map01100
2145,WA5_RS00855,KEGG_Pathway,map01120
2151,WA5_RS00860,KEGG_Pathway,map00521
2152,WA5_RS00860,KEGG_Pathway,map00562
2153,WA5_RS00860,KEGG_Pathway,map01100
2154,WA5_RS00860,KEGG_Pathway,map01120
2155,WA5_RS00860,KEGG_Pathway,map01130
2164,WA5_RS00960,KEGG_Pathway,map00250
2165,WA5_RS00960,KEGG_Pathway,map00630
2166,WA5_RS00960,KEGG_Pathway,map00910
2167,WA5_RS00960,KEGG_Pathway,map01100
2168,WA5_RS00960,KEGG_Pathway,map01110
2169,WA5_RS00960,KEGG_Pathway,map01120
2170,WA5_RS00960,KEGG_Pathway,map01130
2171,WA5_RS00960,KEGG_Pathway,map01230
2179,WA5_RS00965,KEGG_Pathway,map00250
2180,WA5_RS00965,KEGG_Pathway,map00910
2181,WA5_RS00965,KEGG_Pathway,map01100
2182,WA5_RS00965,KEGG_Pathway,map01110
2183,WA5_RS00965,KEGG_Pathway,map01120
2184,WA5_RS00965,KEGG_Pathway,map01130
2185,WA5_RS00965,KEGG_Pathway,map01230
2187,WA5_RS01040,KEGG_Pathway,map02010
2191,WA5_RS01050,KEGG_Pathway,map00730
2192,WA5_RS01050,KEGG_Pathway,map01100
2193,WA5_RS01050,KEGG_Pathway,map04122
2197,WA5_RS01070,KEGG_Pathway,map00984
2198,WA5_RS01070,KEGG_Pathway,map01100
2199,WA5_RS01070,KEGG_Pathway,map01120
2201,WA5_RS01085,KEGG_Pathway,map04122
2205,WA5_RS01090,KEGG_Pathway,map00790
2206,WA5_RS01090,KEGG_Pathway,map01100
2207,WA5_RS01090,KEGG_Pathway,map04122
2211,WA5_RS01095,KEGG_Pathway,map00790
2212,WA5_RS01095,KEGG_Pathway,map01100
2213,WA5_RS01095,KEGG_Pathway,map04122
2217,WA5_RS01100,KEGG_Pathway,map00790
2218,WA5_RS01100,KEGG_Pathway,map01100
2219,WA5_RS01100,KEGG_Pathway,map04122
2222,WA5_RS01105,KEGG_Pathway,map00790
2223,WA5_RS01105,KEGG_Pathway,map01100
2225,WA5_RS01110,KEGG_Pathway,map02010
2227,WA5_RS01115,KEGG_Pathway,map02010
2229,WA5_RS01120,KEGG_Pathway,map04122
2231,WA5_RS01125,KEGG_Pathway,map02010
2242,WA5_RS01135,KEGG_Pathway,map00340
2243,WA5_RS01135,KEGG_Pathway,map00350
2244,WA5_RS01135,KEGG_Pathway,map00360
2245,WA5_RS01135,KEGG_Pathway,map00400
2246,WA5_RS01135,KEGG_Pathway,map00401
2247,WA5_RS01135,KEGG_Pathway,map00960
2248,WA5_RS01135,KEGG_Pathway,map01100
2249,WA5_RS01135,KEGG_Pathway,map01110
2250,WA5_RS01135,KEGG_Pathway,map01130
2251,WA5_RS01135,KEGG_Pathway,map01230
2265,WA5_RS01165,KEGG_Pathway,map00010
2266,WA5_RS01165,KEGG_Pathway,map00071
2267,WA5_RS01165,KEGG_Pathway,map00350
2268,WA5_RS01165,KEGG_Pathway,map00625
2269,WA5_RS01165,KEGG_Pathway,map00626
2270,WA5_RS01165,KEGG_Pathway,map00830
2271,WA5_RS01165,KEGG_Pathway,map00980
2272,WA5_RS01165,KEGG_Pathway,map00982
2273,WA5_RS01165,KEGG_Pathway,map01100
2274,WA5_RS01165,KEGG_Pathway,map01110
2275,WA5_RS01165,KEGG_Pathway,map01120
2276,WA5_RS01165,KEGG_Pathway,map01130
2277,WA5_RS01165,KEGG_Pathway,map01220
