,gene_id,database,kegg_id
4554,WA5_RS06005,KEGG_Pathway,map00195
4555,WA5_RS06005,KEGG_Pathway,map01100
4559,WA5_RS06010,KEGG_Pathway,map00190
4560,WA5_RS06010,KEGG_Pathway,map00195
4561,WA5_RS06010,KEGG_Pathway,map01100
4565,WA5_RS06015,KEGG_Pathway,map00190
4566,WA5_RS06015,KEGG_Pathway,map00195
4567,WA5_RS06015,KEGG_Pathway,map01100
4571,WA5_RS06020,KEGG_Pathway,map00190
4572,WA5_RS06020,KEGG_Pathway,map00195
4573,WA5_RS06020,KEGG_Pathway,map01100
4577,WA5_RS06025,KEGG_Pathway,map00190
4578,WA5_RS06025,KEGG_Pathway,map00195
4579,WA5_RS06025,KEGG_Pathway,map01100
4583,WA5_RS06030,KEGG_Pathway,map00190
4584,WA5_RS06030,KEGG_Pathway,map00195
4585,WA5_RS06030,KEGG_Pathway,map01100
4589,WA5_RS06035,KEGG_Pathway,map00190
4590,WA5_RS06035,KEGG_Pathway,map00195
4591,WA5_RS06035,KEGG_Pathway,map01100
4595,WA5_RS06040,KEGG_Pathway,map00190
4596,WA5_RS06040,KEGG_Pathway,map00195
4597,WA5_RS06040,KEGG_Pathway,map01100
4605,WA5_RS06060,KEGG_Pathway,map00280
4606,WA5_RS06060,KEGG_Pathway,map00630
4607,WA5_RS06060,KEGG_Pathway,map00640
4608,WA5_RS06060,KEGG_Pathway,map00720
4609,WA5_RS06060,KEGG_Pathway,map01100
4610,WA5_RS06060,KEGG_Pathway,map01120
4611,WA5_RS06060,KEGG_Pathway,map01200
4613,WA5_RS06075,KEGG_Pathway,map00920
4616,WA5_RS06080,KEGG_Pathway,map00920
4617,WA5_RS06080,KEGG_Pathway,map02010
4620,WA5_RS06085,KEGG_Pathway,map00920
4621,WA5_RS06085,KEGG_Pathway,map02010
4624,WA5_RS06090,KEGG_Pathway,map00920
4625,WA5_RS06090,KEGG_Pathway,map02010
4629,WA5_RS06095,KEGG_Pathway,map00500
4630,WA5_RS06095,KEGG_Pathway,map01100
4631,WA5_RS06095,KEGG_Pathway,map01110
4634,WA5_RS06100,KEGG_Pathway,map00500
4635,WA5_RS06100,KEGG_Pathway,map01100
4637,WA5_RS06105,KEGG_Pathway,map02010
4641,WA5_RS06130,KEGG_Pathway,map00730
4642,WA5_RS06130,KEGG_Pathway,map01100
4643,WA5_RS06130,KEGG_Pathway,map04122
4649,WA5_RS06155,KEGG_Pathway,map00270
4650,WA5_RS06155,KEGG_Pathway,map00330
4651,WA5_RS06155,KEGG_Pathway,map00410
4652,WA5_RS06155,KEGG_Pathway,map00480
4653,WA5_RS06155,KEGG_Pathway,map01100
4655,WA5_RS06170,KEGG_Pathway,map04122
4662,WA5_RS06185,KEGG_Pathway,map00230
4663,WA5_RS06185,KEGG_Pathway,map00240
4664,WA5_RS06185,KEGG_Pathway,map01100
4665,WA5_RS06185,KEGG_Pathway,map03030
4666,WA5_RS06185,KEGG_Pathway,map03430
4667,WA5_RS06185,KEGG_Pathway,map03440
4672,WA5_RS06190,KEGG_Pathway,map03030
4673,WA5_RS06190,KEGG_Pathway,map03410
4674,WA5_RS06190,KEGG_Pathway,map03420
4675,WA5_RS06190,KEGG_Pathway,map03430
4678,WA5_RS06200,KEGG_Pathway,map00970
4679,WA5_RS06200,KEGG_Pathway,map01100
4682,WA5_RS06205,KEGG_Pathway,map00970
4683,WA5_RS06205,KEGG_Pathway,map01100
4693,WA5_RS06220,KEGG_Pathway,map00010
4694,WA5_RS06220,KEGG_Pathway,map00030
4695,WA5_RS06220,KEGG_Pathway,map00051
4696,WA5_RS06220,KEGG_Pathway,map00052
4697,WA5_RS06220,KEGG_Pathway,map00680
4698,WA5_RS06220,KEGG_Pathway,map01100
4699,WA5_RS06220,KEGG_Pathway,map01110
4700,WA5_RS06220,KEGG_Pathway,map01120
4701,WA5_RS06220,KEGG_Pathway,map01130
4703,WA5_RS06230,KEGG_Pathway,map02010
4705,WA5_RS06235,KEGG_Pathway,map02010
4708,WA5_RS06240,KEGG_Pathway,map02010
4709,WA5_RS06240,KEGG_Pathway,map02030
4711,WA5_RS06245,KEGG_Pathway,map02010
4713,WA5_RS06255,KEGG_Pathway,map02010
4716,WA5_RS06265,KEGG_Pathway,map00970
4717,WA5_RS06265,KEGG_Pathway,map01100
4725,WA5_RS06305,KEGG_Pathway,map00290
4726,WA5_RS06305,KEGG_Pathway,map00770
4727,WA5_RS06305,KEGG_Pathway,map01100
4728,WA5_RS06305,KEGG_Pathway,map01110
4729,WA5_RS06305,KEGG_Pathway,map01130
4730,WA5_RS06305,KEGG_Pathway,map01210
4731,WA5_RS06305,KEGG_Pathway,map01230
4741,WA5_RS06320,KEGG_Pathway,map00290
4742,WA5_RS06320,KEGG_Pathway,map00650
4743,WA5_RS06320,KEGG_Pathway,map00660
4744,WA5_RS06320,KEGG_Pathway,map00770
4745,WA5_RS06320,KEGG_Pathway,map01100
4746,WA5_RS06320,KEGG_Pathway,map01110
4747,WA5_RS06320,KEGG_Pathway,map01130
4748,WA5_RS06320,KEGG_Pathway,map01210
4749,WA5_RS06320,KEGG_Pathway,map01230
4759,WA5_RS06325,KEGG_Pathway,map00290
4760,WA5_RS06325,KEGG_Pathway,map00650
4761,WA5_RS06325,KEGG_Pathway,map00660
4762,WA5_RS06325,KEGG_Pathway,map00770
4763,WA5_RS06325,KEGG_Pathway,map01100
4764,WA5_RS06325,KEGG_Pathway,map01110
4765,WA5_RS06325,KEGG_Pathway,map01130
4766,WA5_RS06325,KEGG_Pathway,map01210
4767,WA5_RS06325,KEGG_Pathway,map01230
4775,WA5_RS06330,KEGG_Pathway,map00290
4776,WA5_RS06330,KEGG_Pathway,map00770
4777,WA5_RS06330,KEGG_Pathway,map01100
4778,WA5_RS06330,KEGG_Pathway,map01110
4779,WA5_RS06330,KEGG_Pathway,map01130
4780,WA5_RS06330,KEGG_Pathway,map01210
4781,WA5_RS06330,KEGG_Pathway,map01230
4784,WA5_RS15695,KEGG_Pathway,map00910
4785,WA5_RS15695,KEGG_Pathway,map02010
4788,WA5_RS06345,KEGG_Pathway,map00910
4789,WA5_RS06345,KEGG_Pathway,map02010
4797,WA5_RS06385,KEGG_Pathway,map00260
4798,WA5_RS06385,KEGG_Pathway,map00680
4799,WA5_RS06385,KEGG_Pathway,map01100
4800,WA5_RS06385,KEGG_Pathway,map01120
4801,WA5_RS06385,KEGG_Pathway,map01130
4802,WA5_RS06385,KEGG_Pathway,map01200
4803,WA5_RS06385,KEGG_Pathway,map01230
4810,WA5_RS06395,KEGG_Pathway,map00290
4811,WA5_RS06395,KEGG_Pathway,map00660
4812,WA5_RS06395,KEGG_Pathway,map01100
4813,WA5_RS06395,KEGG_Pathway,map01110
4814,WA5_RS06395,KEGG_Pathway,map01210
4815,WA5_RS06395,KEGG_Pathway,map01230
4822,WA5_RS06410,KEGG_Pathway,map00230
4823,WA5_RS06410,KEGG_Pathway,map00240
4824,WA5_RS06410,KEGG_Pathway,map01100
4825,WA5_RS06410,KEGG_Pathway,map03030
4826,WA5_RS06410,KEGG_Pathway,map03430
4827,WA5_RS06410,KEGG_Pathway,map03440
4833,WA5_RS06425,KEGG_Pathway,map00130
4834,WA5_RS06425,KEGG_Pathway,map01053
4835,WA5_RS06425,KEGG_Pathway,map01100
4836,WA5_RS06425,KEGG_Pathway,map01110
4837,WA5_RS06425,KEGG_Pathway,map01130
4843,WA5_RS06430,KEGG_Pathway,map00860
4844,WA5_RS06430,KEGG_Pathway,map00970
4845,WA5_RS06430,KEGG_Pathway,map01100
4846,WA5_RS06430,KEGG_Pathway,map01110
4847,WA5_RS06430,KEGG_Pathway,map01120
4850,WA5_RS06500,KEGG_Pathway,map00730
4851,WA5_RS06500,KEGG_Pathway,map01100
4860,WA5_RS06510,KEGG_Pathway,map00500
4861,WA5_RS06510,KEGG_Pathway,map01100
4862,WA5_RS06510,KEGG_Pathway,map01110
4863,WA5_RS06510,KEGG_Pathway,map02026
4864,WA5_RS06510,KEGG_Pathway,map04217
4865,WA5_RS06510,KEGG_Pathway,map04910
4866,WA5_RS06510,KEGG_Pathway,map04922
4867,WA5_RS06510,KEGG_Pathway,map04931
4869,WA5_RS06520,KEGG_Pathway,map00620
4877,WA5_RS06545,KEGG_Pathway,map00290
4878,WA5_RS06545,KEGG_Pathway,map00660
4879,WA5_RS06545,KEGG_Pathway,map00966
4880,WA5_RS06545,KEGG_Pathway,map01100
4881,WA5_RS06545,KEGG_Pathway,map01110
4882,WA5_RS06545,KEGG_Pathway,map01210
4883,WA5_RS06545,KEGG_Pathway,map01230
4890,WA5_RS06550,KEGG_Pathway,map00290
4891,WA5_RS06550,KEGG_Pathway,map00660
4892,WA5_RS06550,KEGG_Pathway,map01100
4893,WA5_RS06550,KEGG_Pathway,map01110
4894,WA5_RS06550,KEGG_Pathway,map01210
4895,WA5_RS06550,KEGG_Pathway,map01230
4898,WA5_RS06565,KEGG_Pathway,map00564
4899,WA5_RS06565,KEGG_Pathway,map01110
4904,WA5_RS06570,KEGG_Pathway,map00473
4905,WA5_RS06570,KEGG_Pathway,map00550
4906,WA5_RS06570,KEGG_Pathway,map01100
4907,WA5_RS06570,KEGG_Pathway,map01502
4910,WA5_RS06580,KEGG_Pathway,map00730
4911,WA5_RS06580,KEGG_Pathway,map01100
4914,WA5_RS06585,KEGG_Pathway,map03410
4915,WA5_RS06585,KEGG_Pathway,map05340
4917,WA5_RS06595,KEGG_Pathway,map03440
4920,WA5_RS06610,KEGG_Pathway,map00770
4921,WA5_RS06610,KEGG_Pathway,map01100
4925,WA5_RS06725,KEGG_Pathway,map02010
4926,WA5_RS06725,KEGG_Pathway,map02020
4927,WA5_RS06725,KEGG_Pathway,map02024
4935,WA5_RS06735,KEGG_Pathway,map00230
4936,WA5_RS06735,KEGG_Pathway,map00240
4937,WA5_RS06735,KEGG_Pathway,map01100
4938,WA5_RS06735,KEGG_Pathway,map03030
4939,WA5_RS06735,KEGG_Pathway,map03410
4940,WA5_RS06735,KEGG_Pathway,map03420
4941,WA5_RS06735,KEGG_Pathway,map03440
4943,WA5_RS06765,KEGG_Pathway,map03010
4945,WA5_RS06770,KEGG_Pathway,map02060
4948,WA5_RS06775,KEGG_Pathway,map00770
4949,WA5_RS06775,KEGG_Pathway,map01100
4954,WA5_RS06795,KEGG_Pathway,map00230
4955,WA5_RS06795,KEGG_Pathway,map00240
4956,WA5_RS06795,KEGG_Pathway,map00760
4957,WA5_RS06795,KEGG_Pathway,map01100
4959,WA5_RS06805,KEGG_Pathway,map00030
4961,WA5_RS06825,KEGG_Pathway,map03420
4964,WA5_RS06840,KEGG_Pathway,map00130
4965,WA5_RS06840,KEGG_Pathway,map01110
4967,WA5_RS06860,KEGG_Pathway,map03420
4969,WA5_RS06875,KEGG_Pathway,map03010
4971,WA5_RS06880,KEGG_Pathway,map03010
4973,WA5_RS06895,KEGG_Pathway,map02010
4975,WA5_RS06900,KEGG_Pathway,map02010
4977,WA5_RS06905,KEGG_Pathway,map02010
4979,WA5_RS06910,KEGG_Pathway,map02010
4981,WA5_RS06915,KEGG_Pathway,map00564
4983,WA5_RS06925,KEGG_Pathway,map00970
4985,WA5_RS06930,KEGG_Pathway,map00970
4992,WA5_RS06950,KEGG_Pathway,map00220
4993,WA5_RS06950,KEGG_Pathway,map01100
4994,WA5_RS06950,KEGG_Pathway,map01110
4995,WA5_RS06950,KEGG_Pathway,map01130
4996,WA5_RS06950,KEGG_Pathway,map01210
4997,WA5_RS06950,KEGG_Pathway,map01230
5004,WA5_RS06955,KEGG_Pathway,map00220
5005,WA5_RS06955,KEGG_Pathway,map01100
5006,WA5_RS06955,KEGG_Pathway,map01110
5007,WA5_RS06955,KEGG_Pathway,map01130
5008,WA5_RS06955,KEGG_Pathway,map01210
5009,WA5_RS06955,KEGG_Pathway,map01230
5016,WA5_RS06960,KEGG_Pathway,map00220
5017,WA5_RS06960,KEGG_Pathway,map01100
5018,WA5_RS06960,KEGG_Pathway,map01110
5019,WA5_RS06960,KEGG_Pathway,map01130
5020,WA5_RS06960,KEGG_Pathway,map01210
5021,WA5_RS06960,KEGG_Pathway,map01230
5030,WA5_RS06965,KEGG_Pathway,map00220
5031,WA5_RS06965,KEGG_Pathway,map00300
5032,WA5_RS06965,KEGG_Pathway,map01100
5033,WA5_RS06965,KEGG_Pathway,map01110
5034,WA5_RS06965,KEGG_Pathway,map01120
5035,WA5_RS06965,KEGG_Pathway,map01130
5036,WA5_RS06965,KEGG_Pathway,map01210
5037,WA5_RS06965,KEGG_Pathway,map01230
5043,WA5_RS06970,KEGG_Pathway,map00220
5044,WA5_RS06970,KEGG_Pathway,map01100
5045,WA5_RS06970,KEGG_Pathway,map01110
5046,WA5_RS06970,KEGG_Pathway,map01130
5047,WA5_RS06970,KEGG_Pathway,map01230
5055,WA5_RS06980,KEGG_Pathway,map00220
5056,WA5_RS06980,KEGG_Pathway,map00250
5057,WA5_RS06980,KEGG_Pathway,map01100
5058,WA5_RS06980,KEGG_Pathway,map01110
5059,WA5_RS06980,KEGG_Pathway,map01130
5060,WA5_RS06980,KEGG_Pathway,map01230
5061,WA5_RS06980,KEGG_Pathway,map05418
5068,WA5_RS06985,KEGG_Pathway,map00220
5069,WA5_RS06985,KEGG_Pathway,map00250
5070,WA5_RS06985,KEGG_Pathway,map01100
5071,WA5_RS06985,KEGG_Pathway,map01110
5072,WA5_RS06985,KEGG_Pathway,map01130
5073,WA5_RS06985,KEGG_Pathway,map01230
5075,WA5_RS07010,KEGG_Pathway,map00970
5078,WA5_RS07060,KEGG_Pathway,map00760
5079,WA5_RS07060,KEGG_Pathway,map01100
5082,WA5_RS07080,KEGG_Pathway,map00240
5083,WA5_RS07080,KEGG_Pathway,map01100
5085,WA5_RS07085,KEGG_Pathway,map00230
5087,WA5_RS07095,KEGG_Pathway,map02010
5093,WA5_RS07115,KEGG_Pathway,map00270
5094,WA5_RS07115,KEGG_Pathway,map00920
5095,WA5_RS07115,KEGG_Pathway,map01100
5096,WA5_RS07115,KEGG_Pathway,map01120
5097,WA5_RS07115,KEGG_Pathway,map04122
5100,WA5_RS07130,KEGG_Pathway,map00240
5101,WA5_RS07130,KEGG_Pathway,map01100
5105,WA5_RS07195,KEGG_Pathway,map02024
5106,WA5_RS07195,KEGG_Pathway,map03060
5107,WA5_RS07195,KEGG_Pathway,map03070
5109,WA5_RS07250,KEGG_Pathway,map02010
5117,WA5_RS07255,KEGG_Pathway,map00030
5118,WA5_RS07255,KEGG_Pathway,map00480
5119,WA5_RS07255,KEGG_Pathway,map01100
5120,WA5_RS07255,KEGG_Pathway,map01110
5121,WA5_RS07255,KEGG_Pathway,map01120
5122,WA5_RS07255,KEGG_Pathway,map01130
5123,WA5_RS07255,KEGG_Pathway,map01200
5125,WA5_RS07285,KEGG_Pathway,map02010
5127,WA5_RS07290,KEGG_Pathway,map02010
5129,WA5_RS07295,KEGG_Pathway,map02010
5131,WA5_RS07300,KEGG_Pathway,map02010
5134,WA5_RS07310,KEGG_Pathway,map00730
5135,WA5_RS07310,KEGG_Pathway,map01100
5138,WA5_RS07315,KEGG_Pathway,map00730
5139,WA5_RS07315,KEGG_Pathway,map01100
5141,WA5_RS07320,KEGG_Pathway,map00190
5144,WA5_RS07390,KEGG_Pathway,map00510
5145,WA5_RS07390,KEGG_Pathway,map01100
5148,WA5_RS07405,KEGG_Pathway,map00561
5149,WA5_RS07405,KEGG_Pathway,map01100
5152,WA5_RS07410,KEGG_Pathway,map00860
5153,WA5_RS07410,KEGG_Pathway,map01100
5156,WA5_RS07415,KEGG_Pathway,map00860
5157,WA5_RS07415,KEGG_Pathway,map01100
5160,WA5_RS07440,KEGG_Pathway,map03060
5161,WA5_RS07440,KEGG_Pathway,map03070
5164,WA5_RS07445,KEGG_Pathway,map03060
5165,WA5_RS07445,KEGG_Pathway,map03070
5167,WA5_RS07475,KEGG_Pathway,map03050
5170,WA5_RS07505,KEGG_Pathway,map00250
5171,WA5_RS07505,KEGG_Pathway,map01100
5176,WA5_RS07510,KEGG_Pathway,map00340
5177,WA5_RS07510,KEGG_Pathway,map01100
5178,WA5_RS07510,KEGG_Pathway,map01110
5179,WA5_RS07510,KEGG_Pathway,map01230
5184,WA5_RS07515,KEGG_Pathway,map00340
5185,WA5_RS07515,KEGG_Pathway,map01100
5186,WA5_RS07515,KEGG_Pathway,map01110
5187,WA5_RS07515,KEGG_Pathway,map01230
5194,WA5_RS07525,KEGG_Pathway,map00270
5195,WA5_RS07525,KEGG_Pathway,map00450
5196,WA5_RS07525,KEGG_Pathway,map00670
5197,WA5_RS07525,KEGG_Pathway,map01100
5198,WA5_RS07525,KEGG_Pathway,map01110
5199,WA5_RS07525,KEGG_Pathway,map01230
5201,WA5_RS07560,KEGG_Pathway,map00970
5203,WA5_RS07565,KEGG_Pathway,map00550
5206,WA5_RS07580,KEGG_Pathway,map00240
5207,WA5_RS07580,KEGG_Pathway,map01100
5215,WA5_RS07640,KEGG_Pathway,map00280
5216,WA5_RS07640,KEGG_Pathway,map00630
5217,WA5_RS07640,KEGG_Pathway,map00640
5218,WA5_RS07640,KEGG_Pathway,map00720
5219,WA5_RS07640,KEGG_Pathway,map01100
5220,WA5_RS07640,KEGG_Pathway,map01120
5221,WA5_RS07640,KEGG_Pathway,map01200
5229,WA5_RS07645,KEGG_Pathway,map00280
5230,WA5_RS07645,KEGG_Pathway,map00630
5231,WA5_RS07645,KEGG_Pathway,map00640
5232,WA5_RS07645,KEGG_Pathway,map00720
5233,WA5_RS07645,KEGG_Pathway,map01100
5234,WA5_RS07645,KEGG_Pathway,map01120
5235,WA5_RS07645,KEGG_Pathway,map01200
5239,WA5_RS07680,KEGG_Pathway,map00860
5240,WA5_RS07680,KEGG_Pathway,map01100
5241,WA5_RS07680,KEGG_Pathway,map01110
5252,WA5_RS07695,KEGG_Pathway,map00020
5253,WA5_RS07695,KEGG_Pathway,map00630
5254,WA5_RS07695,KEGG_Pathway,map00720
5255,WA5_RS07695,KEGG_Pathway,map01100
5256,WA5_RS07695,KEGG_Pathway,map01110
5257,WA5_RS07695,KEGG_Pathway,map01120
5258,WA5_RS07695,KEGG_Pathway,map01130
5259,WA5_RS07695,KEGG_Pathway,map01200
5260,WA5_RS07695,KEGG_Pathway,map01210
5261,WA5_RS07695,KEGG_Pathway,map01230
5265,WA5_RS07705,KEGG_Pathway,map00230
5266,WA5_RS07705,KEGG_Pathway,map00983
5267,WA5_RS07705,KEGG_Pathway,map01100
5273,WA5_RS07740,KEGG_Pathway,map04611
5274,WA5_RS07740,KEGG_Pathway,map04926
5275,WA5_RS07740,KEGG_Pathway,map04933
5276,WA5_RS07740,KEGG_Pathway,map04974
5277,WA5_RS07740,KEGG_Pathway,map05146
5281,WA5_RS16485,KEGG_Pathway,map00511
5282,WA5_RS16485,KEGG_Pathway,map00600
5283,WA5_RS16485,KEGG_Pathway,map04142
5287,WA5_RS16490,KEGG_Pathway,map00511
5288,WA5_RS16490,KEGG_Pathway,map00600
5289,WA5_RS16490,KEGG_Pathway,map04142
5292,WA5_RS07795,KEGG_Pathway,map00450
5293,WA5_RS07795,KEGG_Pathway,map01100
5300,WA5_RS07835,KEGG_Pathway,map00190
5301,WA5_RS07835,KEGG_Pathway,map00860
5302,WA5_RS07835,KEGG_Pathway,map01100
5303,WA5_RS07835,KEGG_Pathway,map01110
5304,WA5_RS07835,KEGG_Pathway,map02020
5305,WA5_RS07835,KEGG_Pathway,map04714
5308,WA5_RS07840,KEGG_Pathway,map03022
5309,WA5_RS07840,KEGG_Pathway,map03420
5315,WA5_RS07850,KEGG_Pathway,map00190
5316,WA5_RS07850,KEGG_Pathway,map00860
5317,WA5_RS07850,KEGG_Pathway,map01100
5318,WA5_RS07850,KEGG_Pathway,map01110
5319,WA5_RS07850,KEGG_Pathway,map04714
5329,WA5_RS07855,KEGG_Pathway,map00030
5330,WA5_RS07855,KEGG_Pathway,map00710
5331,WA5_RS07855,KEGG_Pathway,map01051
5332,WA5_RS07855,KEGG_Pathway,map01100
5333,WA5_RS07855,KEGG_Pathway,map01110
5334,WA5_RS07855,KEGG_Pathway,map01120
5335,WA5_RS07855,KEGG_Pathway,map01130
5336,WA5_RS07855,KEGG_Pathway,map01200
5337,WA5_RS07855,KEGG_Pathway,map01230
5345,WA5_RS07860,KEGG_Pathway,map00030
5346,WA5_RS07860,KEGG_Pathway,map01100
5347,WA5_RS07860,KEGG_Pathway,map01110
5348,WA5_RS07860,KEGG_Pathway,map01120
5349,WA5_RS07860,KEGG_Pathway,map01130
5350,WA5_RS07860,KEGG_Pathway,map01200
5351,WA5_RS07860,KEGG_Pathway,map01230
5360,WA5_RS07865,KEGG_Pathway,map00030
5361,WA5_RS07865,KEGG_Pathway,map00480
5362,WA5_RS07865,KEGG_Pathway,map01100
5363,WA5_RS07865,KEGG_Pathway,map01110
5364,WA5_RS07865,KEGG_Pathway,map01120
5365,WA5_RS07865,KEGG_Pathway,map01130
5366,WA5_RS07865,KEGG_Pathway,map01200
5367,WA5_RS07865,KEGG_Pathway,map05230
5374,WA5_RS07875,KEGG_Pathway,map00030
5375,WA5_RS07875,KEGG_Pathway,map01100
5376,WA5_RS07875,KEGG_Pathway,map01110
5377,WA5_RS07875,KEGG_Pathway,map01120
5378,WA5_RS07875,KEGG_Pathway,map01130
5379,WA5_RS07875,KEGG_Pathway,map01200
5382,WA5_RS07880,KEGG_Pathway,map00260
5383,WA5_RS07880,KEGG_Pathway,map01100
5386,WA5_RS07890,KEGG_Pathway,map00260
5387,WA5_RS07890,KEGG_Pathway,map01100
5392,WA5_RS07895,KEGG_Pathway,map00330
5393,WA5_RS07895,KEGG_Pathway,map01110
5394,WA5_RS07895,KEGG_Pathway,map01130
5395,WA5_RS07895,KEGG_Pathway,map01230
5399,WA5_RS07905,KEGG_Pathway,map02024
5400,WA5_RS07905,KEGG_Pathway,map03060
5401,WA5_RS07905,KEGG_Pathway,map03070
5409,WA5_RS07910,KEGG_Pathway,map00620
5410,WA5_RS07910,KEGG_Pathway,map00680
5411,WA5_RS07910,KEGG_Pathway,map00710
5412,WA5_RS07910,KEGG_Pathway,map00720
5413,WA5_RS07910,KEGG_Pathway,map01100
5414,WA5_RS07910,KEGG_Pathway,map01120
5415,WA5_RS07910,KEGG_Pathway,map01200
5426,WA5_RS07915,KEGG_Pathway,map00010
5427,WA5_RS07915,KEGG_Pathway,map00051
5428,WA5_RS07915,KEGG_Pathway,map00562
5429,WA5_RS07915,KEGG_Pathway,map00710
5430,WA5_RS07915,KEGG_Pathway,map01100
5431,WA5_RS07915,KEGG_Pathway,map01110
5432,WA5_RS07915,KEGG_Pathway,map01120
5433,WA5_RS07915,KEGG_Pathway,map01130
5434,WA5_RS07915,KEGG_Pathway,map01200
5435,WA5_RS07915,KEGG_Pathway,map01230
5446,WA5_RS07920,KEGG_Pathway,map00010
5447,WA5_RS07920,KEGG_Pathway,map00051
5448,WA5_RS07920,KEGG_Pathway,map00562
5449,WA5_RS07920,KEGG_Pathway,map00710
5450,WA5_RS07920,KEGG_Pathway,map01100
5451,WA5_RS07920,KEGG_Pathway,map01110
5452,WA5_RS07920,KEGG_Pathway,map01120
5453,WA5_RS07920,KEGG_Pathway,map01130
5454,WA5_RS07920,KEGG_Pathway,map01200
5455,WA5_RS07920,KEGG_Pathway,map01230
5466,WA5_RS07925,KEGG_Pathway,map00010
5467,WA5_RS07925,KEGG_Pathway,map00710
5468,WA5_RS07925,KEGG_Pathway,map01100
5469,WA5_RS07925,KEGG_Pathway,map01110
5470,WA5_RS07925,KEGG_Pathway,map01120
5471,WA5_RS07925,KEGG_Pathway,map01130
5472,WA5_RS07925,KEGG_Pathway,map01200
5473,WA5_RS07925,KEGG_Pathway,map01230
5474,WA5_RS07925,KEGG_Pathway,map04066
5475,WA5_RS07925,KEGG_Pathway,map05010
5477,WA5_RS07945,KEGG_Pathway,map03420
5481,WA5_RS07955,KEGG_Pathway,map00740
5482,WA5_RS07955,KEGG_Pathway,map01100
5483,WA5_RS07955,KEGG_Pathway,map01110
5488,WA5_RS07960,KEGG_Pathway,map00740
5489,WA5_RS07960,KEGG_Pathway,map00790
5490,WA5_RS07960,KEGG_Pathway,map01100
5491,WA5_RS07960,KEGG_Pathway,map01110
5495,WA5_RS07965,KEGG_Pathway,map00740
5496,WA5_RS07965,KEGG_Pathway,map01100
5497,WA5_RS07965,KEGG_Pathway,map01110
5502,WA5_RS07970,KEGG_Pathway,map00740
5503,WA5_RS07970,KEGG_Pathway,map01100
5504,WA5_RS07970,KEGG_Pathway,map01110
5505,WA5_RS07970,KEGG_Pathway,map02024
5515,WA5_RS07975,KEGG_Pathway,map00030
5516,WA5_RS07975,KEGG_Pathway,map00040
5517,WA5_RS07975,KEGG_Pathway,map00710
5518,WA5_RS07975,KEGG_Pathway,map01100
5519,WA5_RS07975,KEGG_Pathway,map01110
5520,WA5_RS07975,KEGG_Pathway,map01120
5521,WA5_RS07975,KEGG_Pathway,map01130
5522,WA5_RS07975,KEGG_Pathway,map01200
5523,WA5_RS07975,KEGG_Pathway,map01230
5526,WA5_RS07985,KEGG_Pathway,map00670
5527,WA5_RS07985,KEGG_Pathway,map00970
5529,WA5_RS07995,KEGG_Pathway,map03440
5534,WA5_RS08000,KEGG_Pathway,map00270
5535,WA5_RS08000,KEGG_Pathway,map01100
5536,WA5_RS08000,KEGG_Pathway,map01110
5537,WA5_RS08000,KEGG_Pathway,map01230
5540,WA5_RS08005,KEGG_Pathway,map00770
5541,WA5_RS08005,KEGG_Pathway,map01100
5546,WA5_RS08010,KEGG_Pathway,map00230
5547,WA5_RS08010,KEGG_Pathway,map00240
5548,WA5_RS08010,KEGG_Pathway,map01100
5549,WA5_RS08010,KEGG_Pathway,map03020
5552,WA5_RS08015,KEGG_Pathway,map00230
5553,WA5_RS08015,KEGG_Pathway,map01100
5556,WA5_RS08025,KEGG_Pathway,map00240
5557,WA5_RS08025,KEGG_Pathway,map01100
5561,WA5_RS08030,KEGG_Pathway,map00240
5562,WA5_RS08030,KEGG_Pathway,map00250
5563,WA5_RS08030,KEGG_Pathway,map01100
5567,WA5_RS08035,KEGG_Pathway,map00240
5568,WA5_RS08035,KEGG_Pathway,map00250
5569,WA5_RS08035,KEGG_Pathway,map01100
5572,WA5_RS08040,KEGG_Pathway,map00240
5573,WA5_RS08040,KEGG_Pathway,map01100
5577,WA5_RS08045,KEGG_Pathway,map00240
5578,WA5_RS08045,KEGG_Pathway,map00250
5579,WA5_RS08045,KEGG_Pathway,map01100
5582,WA5_RS08050,KEGG_Pathway,map00240
5583,WA5_RS08050,KEGG_Pathway,map01100
5589,WA5_RS08090,KEGG_Pathway,map00400
5590,WA5_RS08090,KEGG_Pathway,map01100
5591,WA5_RS08090,KEGG_Pathway,map01110
5592,WA5_RS08090,KEGG_Pathway,map01130
5593,WA5_RS08090,KEGG_Pathway,map01230
5599,WA5_RS08095,KEGG_Pathway,map00400
5600,WA5_RS08095,KEGG_Pathway,map01100
5601,WA5_RS08095,KEGG_Pathway,map01110
5602,WA5_RS08095,KEGG_Pathway,map01130
5603,WA5_RS08095,KEGG_Pathway,map01230
5609,WA5_RS08100,KEGG_Pathway,map00400
5610,WA5_RS08100,KEGG_Pathway,map01100
5611,WA5_RS08100,KEGG_Pathway,map01110
5612,WA5_RS08100,KEGG_Pathway,map01130
5613,WA5_RS08100,KEGG_Pathway,map01230
5615,WA5_RS08115,KEGG_Pathway,map02010
5617,WA5_RS08120,KEGG_Pathway,map02010
5619,WA5_RS08125,KEGG_Pathway,map02010
5625,WA5_RS08130,KEGG_Pathway,map00400
5626,WA5_RS08130,KEGG_Pathway,map01100
5627,WA5_RS08130,KEGG_Pathway,map01110
