regulator,gene_id,effect
WA5_RS11530,WA5_RS11520,
WA5_RS11530,WA5_RS11515,R
WA5_RS11530,WA5_RS01525,R
WA5_RS11860,WA5_RS11875,R
WA5_RS11860,WA5_RS11870,R
WA5_RS11860,WA5_RS11865,R
WA5_RS11905,WA5_RS11940,R
WA5_RS11905,WA5_RS11935,R
WA5_RS11905,WA5_RS11930,R
WA5_RS11905,WA5_RS11925,R
WA5_RS11905,WA5_RS11920,R
WA5_RS11905,WA5_RS11915,R
WA5_RS11905,WA5_RS11910,R
WA5_RS11905,WA5_RS11905,R
WA5_RS11905,WA5_RS11900,R
WA5_RS11905,WA5_RS11895,R
WA5_RS11905,WA5_RS05365,R
WA5_RS11905,WA5_RS05360,R
WA5_RS11920,WA5_RS11940,R
WA5_RS11920,WA5_RS11935,R
WA5_RS11920,WA5_RS11930,A
WA5_RS11920,WA5_RS11925,R
WA5_RS11920,WA5_RS05365,R
WA5_RS11920,WA5_RS05360,R
WA5_RS11985,WA5_RS11995,R
WA5_RS11985,WA5_RS11990,R
WA5_RS11985,WA5_RS11980,R
WA5_RS11985,WA5_RS11975,R
WA5_RS11985,WA5_RS11970,R
WA5_RS11985,WA5_RS11965,R
WA5_RS11985,WA5_RS11960,R
WA5_RS11985,WA5_RS11955,R
WA5_RS11985,WA5_RS11950,R
WA5_RS12425,WA5_RS12450,R
WA5_RS12425,WA5_RS04195,R
WA5_RS12425,WA5_RS03530,R
WA5_RS12425,WA5_RS03490,A
WA5_RS12540,WA5_RS15125,A
WA5_RS12540,WA5_RS12145,A
WA5_RS12540,WA5_RS12140,A
WA5_RS12540,WA5_RS12135,A
WA5_RS12540,WA5_RS12130,A
WA5_RS12540,WA5_RS12125,A
WA5_RS12540,WA5_RS10375,A
WA5_RS12540,WA5_RS06270,A
WA5_RS12540,WA5_RS02295,A
WA5_RS12540,WA5_RS02290,A
WA5_RS12610,WA5_RS15080,A
WA5_RS12610,WA5_RS14545,A
WA5_RS12610,WA5_RS14325,A
WA5_RS12610,WA5_RS13250,A
WA5_RS12610,WA5_RS12400,R
WA5_RS12610,WA5_RS10380,R
WA5_RS12610,WA5_RS07875,R
WA5_RS12610,WA5_RS07870,R
WA5_RS12610,WA5_RS07865,R
WA5_RS12610,WA5_RS07860,R
WA5_RS12610,WA5_RS07855,R
WA5_RS12610,WA5_RS07255,R
WA5_RS12610,WA5_RS06770,R
WA5_RS12610,WA5_RS04690,R
WA5_RS12610,WA5_RS03310,R
WA5_RS12815,WA5_RS15080,R
WA5_RS12815,WA5_RS14590,R
WA5_RS12815,WA5_RS14585,R
WA5_RS12815,WA5_RS14555,A
WA5_RS12815,WA5_RS14325,R
WA5_RS12815,WA5_RS14040,A
WA5_RS12815,WA5_RS13985,A
WA5_RS12815,WA5_RS13775,R
WA5_RS12815,WA5_RS13770,R
WA5_RS12815,WA5_RS13380,R
WA5_RS12815,WA5_RS12855,R
WA5_RS12815,WA5_RS12850,R
WA5_RS12815,WA5_RS12815,R
WA5_RS12815,WA5_RS11850,R
WA5_RS12815,WA5_RS11845,R
WA5_RS12815,WA5_RS11600,A
WA5_RS12815,WA5_RS11595,A
WA5_RS12815,WA5_RS10970,A
WA5_RS12815,WA5_RS10380,A
WA5_RS12815,WA5_RS09970,R
WA5_RS12815,WA5_RS09650,R
WA5_RS12815,WA5_RS09625,R
WA5_RS12815,WA5_RS09620,A
WA5_RS12815,WA5_RS07925,A
WA5_RS12815,WA5_RS07875,A
WA5_RS12815,WA5_RS07870,A
WA5_RS12815,WA5_RS07865,A
WA5_RS12815,WA5_RS07860,R
WA5_RS12815,WA5_RS07855,A
WA5_RS12815,WA5_RS07705,A
WA5_RS12815,WA5_RS07700,R
WA5_RS12815,WA5_RS07695,R
WA5_RS12815,WA5_RS07255,R
WA5_RS12815,WA5_RS06770,A
WA5_RS12815,WA5_RS06220,A
WA5_RS12815,WA5_RS05570,A
WA5_RS12815,WA5_RS05565,R
WA5_RS12815,WA5_RS05070,A
WA5_RS12815,WA5_RS05025,R
WA5_RS12815,WA5_RS04690,A
WA5_RS12815,WA5_RS04570,A
WA5_RS12815,WA5_RS04565,A
WA5_RS12815,WA5_RS04560,R
WA5_RS12815,WA5_RS04555,R
WA5_RS12815,WA5_RS04550,R
WA5_RS12815,WA5_RS04180,R
WA5_RS12815,WA5_RS04175,R
WA5_RS12815,WA5_RS04160,A
WA5_RS12815,WA5_RS03290,A
WA5_RS12815,WA5_RS03285,A
WA5_RS12815,WA5_RS03280,A
WA5_RS12815,WA5_RS01925,R
WA5_RS12815,WA5_RS01920,R
WA5_RS12815,WA5_RS01915,A
WA5_RS12815,WA5_RS01910,A
WA5_RS12815,WA5_RS01905,A
WA5_RS13075,WA5_RS15355,A
WA5_RS13075,WA5_RS13075,A
WA5_RS13075,WA5_RS13070,A
WA5_RS13075,WA5_RS13000,A
WA5_RS13075,WA5_RS12915,A
WA5_RS13075,WA5_RS12910,A
WA5_RS13075,WA5_RS12905,A
WA5_RS13075,WA5_RS12900,A
WA5_RS13075,WA5_RS06915,A
WA5_RS13075,WA5_RS06910,A
WA5_RS13075,WA5_RS06905,A
WA5_RS13075,WA5_RS06900,A
WA5_RS13075,WA5_RS06895,A
WA5_RS13075,WA5_RS04855,A
WA5_RS13075,WA5_RS02340,A
WA5_RS13075,WA5_RS02335,A
WA5_RS13075,WA5_RS01715,A
WA5_RS13075,WA5_RS00355,A
WA5_RS13100,WA5_RS13105,A
WA5_RS13100,WA5_RS13100,A
WA5_RS13100,WA5_RS13095,A
WA5_RS13180,WA5_RS15030,A
WA5_RS13180,WA5_RS14515,A
WA5_RS13180,WA5_RS14435,A
WA5_RS13180,WA5_RS06270,A
WA5_RS13180,WA5_RS02295,A
WA5_RS13180,WA5_RS02290,A
WA5_RS13180,WA5_RS00180,A
WA5_RS13180,WA5_RS00175,A
WA5_RS13180,WA5_RS00170,A
WA5_RS13290,WA5_RS16490,A
WA5_RS13290,WA5_RS13310,A
WA5_RS13290,WA5_RS13305,A
WA5_RS13290,WA5_RS13300,A
WA5_RS13290,WA5_RS13295,A
WA5_RS13290,WA5_RS13290,A
WA5_RS13290,WA5_RS13285,R
WA5_RS13290,WA5_RS13280,R
WA5_RS13290,WA5_RS13275,R
WA5_RS13290,WA5_RS13270,A
WA5_RS13290,WA5_RS13265,A
WA5_RS13290,WA5_RS13260,A
WA5_RS13320,WA5_RS13315,R
WA5_RS13420,WA5_RS13425,R
WA5_RS13915,WA5_RS13930,R
WA5_RS13915,WA5_RS13925,A
WA5_RS13915,WA5_RS13920,A
WA5_RS13915,WA5_RS13915,A
WA5_RS13990,WA5_RS14005,R
WA5_RS13990,WA5_RS14000,R
WA5_RS13990,WA5_RS13995,R
WA5_RS13990,WA5_RS13990,R
WA5_RS13990,WA5_RS13905,R
WA5_RS13990,WA5_RS13900,R
WA5_RS13990,WA5_RS13595,R
WA5_RS13990,WA5_RS09775,R
WA5_RS14575,WA5_RS14590,R
WA5_RS14575,WA5_RS14585,R
WA5_RS14575,WA5_RS14575,R
WA5_RS14575,WA5_RS14570,R
WA5_RS14575,WA5_RS14565,A
WA5_RS14575,WA5_RS14560,A
WA5_RS14575,WA5_RS14555,R
WA5_RS14575,WA5_RS09650,R
WA5_RS14575,WA5_RS09645,R
WA5_RS14575,WA5_RS09640,R
WA5_RS14575,WA5_RS09635,R
WA5_RS14650,WA5_RS14655,R
WA5_RS14650,WA5_RS14650,R
WA5_RS14685,WA5_RS12595,R
WA5_RS14685,WA5_RS11065,R
WA5_RS14685,WA5_RS10900,R
WA5_RS14685,WA5_RS10895,R
WA5_RS14685,WA5_RS10890,R
WA5_RS14685,WA5_RS10885,R
WA5_RS14685,WA5_RS10015,R
WA5_RS14685,WA5_RS10010,R
WA5_RS14685,WA5_RS07680,R
WA5_RS14685,WA5_RS02250,R
WA5_RS14685,WA5_RS02245,R
WA5_RS14685,WA5_RS02240,R
WA5_RS14685,WA5_RS02235,R
WA5_RS14685,WA5_RS02230,R
WA5_RS14685,WA5_RS02225,R
WA5_RS14685,WA5_RS02220,R
WA5_RS14685,WA5_RS02215,A
WA5_RS14685,WA5_RS02130,R
WA5_RS14685,WA5_RS02125,A
WA5_RS14715,WA5_RS16610,A
WA5_RS14715,WA5_RS15275,A
WA5_RS14715,WA5_RS15270,A
WA5_RS14715,WA5_RS15265,A
WA5_RS14715,WA5_RS15260,A
WA5_RS14715,WA5_RS14715,R
WA5_RS14715,WA5_RS14090,R
WA5_RS14715,WA5_RS14085,R
WA5_RS14715,WA5_RS14080,R
WA5_RS14715,WA5_RS14075,R
WA5_RS14715,WA5_RS14070,R
WA5_RS14715,WA5_RS14065,R
WA5_RS14715,WA5_RS14060,R
WA5_RS14715,WA5_RS12825,R
WA5_RS14715,WA5_RS12180,R
WA5_RS14715,WA5_RS12145,R
WA5_RS14715,WA5_RS12140,R
WA5_RS14715,WA5_RS12135,R
WA5_RS14715,WA5_RS12130,R
WA5_RS14715,WA5_RS12125,R
WA5_RS14715,WA5_RS08000,R
WA5_RS14715,WA5_RS07705,R
WA5_RS14715,WA5_RS07525,R
WA5_RS14715,WA5_RS06130,R
WA5_RS14715,WA5_RS06125,R
WA5_RS14715,WA5_RS06120,R
WA5_RS14715,WA5_RS06090,R
WA5_RS14715,WA5_RS06085,R
WA5_RS14715,WA5_RS06080,R
WA5_RS14715,WA5_RS06075,R
WA5_RS14715,WA5_RS05895,R
WA5_RS14715,WA5_RS05890,R
WA5_RS14715,WA5_RS05675,R
WA5_RS14715,WA5_RS05065,R
WA5_RS14715,WA5_RS05060,R
WA5_RS14715,WA5_RS05055,R
WA5_RS14715,WA5_RS05050,R
WA5_RS14715,WA5_RS05030,R
WA5_RS14715,WA5_RS03265,R
WA5_RS14715,WA5_RS03260,R
WA5_RS14715,WA5_RS03190,R
WA5_RS14715,WA5_RS03185,R
WA5_RS14715,WA5_RS03180,R
WA5_RS14715,WA5_RS00655,R
WA5_RS14715,WA5_RS00045,R
WA5_RS14765,WA5_RS14770,R
WA5_RS14870,WA5_RS14880,R
WA5_RS14870,WA5_RS14875,R
WA5_RS14870,WA5_RS14870,R
WA5_RS14870,WA5_RS14865,R
WA5_RS14870,WA5_RS14855,R
WA5_RS14870,WA5_RS14850,R
WA5_RS14990,WA5_RS15080,R
WA5_RS14990,WA5_RS14995,R
WA5_RS14990,WA5_RS14990,R
WA5_RS15165,WA5_RS15175,R
WA5_RS15165,WA5_RS15170,R
WA5_RS15165,WA5_RS15165,R
WA5_RS15165,WA5_RS15160,R
WA5_RS15165,WA5_RS15155,R
WA5_RS15165,WA5_RS15150,R
WA5_RS15165,WA5_RS02790,R
WA5_RS15165,WA5_RS02785,R
WA5_RS15165,WA5_RS02780,R
WA5_RS15165,WA5_RS02775,A
WA5_RS15165,WA5_RS02770,A
WA5_RS15165,WA5_RS02765,A
WA5_RS15165,WA5_RS02760,A
WA5_RS15165,WA5_RS02755,A
WA5_RS15265,WA5_RS15275,A
WA5_RS15265,WA5_RS15270,R
WA5_RS15265,WA5_RS15265,R
WA5_RS15330,WA5_RS15325,R
WA5_RS15330,WA5_RS15320,A
WA5_RS15330,WA5_RS15315,A
WA5_RS15475,WA5_RS15490,R
WA5_RS15475,WA5_RS15485,A
WA5_RS15475,WA5_RS15480,A
WA5_RS15475,WA5_RS14925,A
WA5_RS15475,WA5_RS13905,A
WA5_RS15475,WA5_RS13900,A
WA5_RS15475,WA5_RS07815,A
WA5_RS15475,WA5_RS07810,A
WA5_RS15475,WA5_RS07805,A
WA5_RS15475,WA5_RS07800,A
WA5_RS15475,WA5_RS07795,A
WA5_RS15475,WA5_RS07790,A
WA5_RS15475,WA5_RS07785,R
WA5_RS15475,WA5_RS07500,R
WA5_RS15475,WA5_RS04775,R
WA5_RS15475,WA5_RS03000,A
WA5_RS15730,WA5_RS07550,A
WA5_RS15730,WA5_RS07545,A
WA5_RS15730,WA5_RS07540,R
WA5_RS15730,WA5_RS01385,R
WA5_RS15730,WA5_RS01380,R
ydaO-yuaA,WA5_RS04110,R
ydaO-yuaA,WA5_RS10880,R
yybP-ykoY,WA5_RS07340,
yybP-ykoY,WA5_RS12615,
yybP-ykoY,WA5_RS12620,
yybP-ykoY,WA5_RS09800,
