Geneid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
WA5_RS00005,0.0017143853333750237,-0.002181435627523458,-0.005094185815772562,-0.003094595186024651,-0.01231791376690963,0.017902198425203103,0.01933021107079397,-0.0032591974843766735,-0.0037795072407529355,0.0024081846254300917,0.0052950020331661045,0.001072104498545735,-0.00014700994190215623,-0.006838947821842955,-0.021253657355704607,0.00013833568343807903,-0.0046543333705645505,-0.017282866709962135,-0.002521803357593127,-0.005638575269406298,-0.012084950261100595,0.01055987684436883,-0.001791825717967144,0.0006741805020843078,0.00724655014952967,-0.010579426218809168,0.01874005990248294,0.017701128732917022,0.0012329355152375448,-0.00998966053485699,0.0028649931349469695,-0.004447899088114692,-0.0013698351668269546,0.0035597722376076737,-0.007960797104564802,-0.0014720095435675898
WA5_RS00010,-0.006443184935554012,-0.010570644495536874,0.009023602463838924,0.0021047192639581857,-0.008915798745169849,-0.010336601456151498,0.009040295615976744,0.016813732078470988,-0.007536025060164552,-0.021031297371260558,-0.010117056111431244,0.0009976542426175265,-0.016615258729582222,-0.006273886239919772,-0.012310985823576445,-0.0009193610788964546,-0.009202167947581805,0.02772477204531191,-0.003957504774472315,-0.00033056353737393205,0.011836786496599687,-0.016545583587667306,-0.004351644700728139,-0.007191161468852609,-0.006560059081087881,0.0012565702068510595,-3.263851484792876e-05,-0.026625803162947968,0.02306485117841955,-0.017862505472899703,-0.0010206145281374608,-0.008094863509962876,-0.004539894828903056,-0.006385166786775971,-0.0036179939894163717,-0.008018886870635943
WA5_RS00015,0.004154014679790964,-0.0015131925180794715,0.00973412948521221,0.011582310297033374,-0.011702075753687898,-0.015305835735168034,0.00022439435433396968,0.011219806454458357,0.003161116213462697,-0.017680918477096512,-0.018003060021646075,0.0005730111385311515,-0.006065243476410832,-0.0060221159739056755,-0.015450556869508249,-0.0040954984104334706,-0.010390485347378969,0.025693403109669454,-0.0009526808564614423,-0.0006512883744690844,0.007104336742438178,-0.006260178001141512,-0.0034498971755068525,0.00855347113238007,0.008482736666709649,-0.004045483506111746,-0.0009011070400948641,-0.03145589893021968,0.02253552250098689,-0.025254141883901245,-0.0043347040312035675,-0.004676690025464935,-0.011951329332279732,-0.008950177769337844,-0.002219046437570237,-0.02044626367661642
WA5_RS00020,-0.004235875146561397,-0.013351047229322057,0.006701124485085318,0.005005411314197905,-0.009155230698322558,-0.014746582210466208,-0.017176074773594983,0.017776141919965502,0.009769853825374979,-0.017774366192406223,-0.008614214608327583,0.0028388102340693895,-0.012613361675655051,-0.00899860954803873,-0.023893818140007926,0.0014373323546533288,-0.0064665660450944585,0.02613187154742512,0.0033861258574869623,-0.015110168137723787,0.017354857717449886,-0.004117288382609595,-0.009357358688615184,0.019518314964422835,0.011412395759542856,0.010080727251729244,0.005285076956526254,-0.031365641605987676,0.02730698740826795,-0.013913917059019048,0.0037085525544754165,0.007466360848854554,-0.021601617653565455,0.0059411479648826945,-0.0051078208974020805,-0.028271598606440164
WA5_RS00025,-0.0020492510170484783,0.022393866194271812,-0.0006476859162507082,-0.010566513373709324,-0.005575210713531457,-0.003261443547852559,0.029083309705961406,-0.0019178632456607588,-0.0019084695395571402,-0.00479446574013804,-0.01342451085893124,0.0014841916555708926,0.008832947999161615,-0.003964957822924299,0.009092488252574839,-0.003724475069251366,0.0014532454178682647,-0.0037574746490236705,-0.0020452102287102404,0.007874963375126103,-0.015561518810003915,-0.005196831069780276,-0.007703977384445089,0.0007159541190352963,-0.013411897290320027,-8.489682137314044e-05,-0.0012071210098803548,-0.011564220798292004,0.005483707036902069,-0.008095095367793067,-0.012681606650796713,-0.001303166536646272,0.004759770937915623,-0.0016513287251325624,-0.00384174397479342,0.006790774376428177
WA5_RS00030,-0.019372334615598445,0.0010270655120579605,-0.007226685778827724,-0.006858795955608992,0.006333507145028101,0.006695094359985188,-0.01131077203327157,0.002663782223029128,-0.012606102200396863,-0.00665835732620343,0.01095090464839659,0.010978168386165856,0.0028576197134541573,0.005532879205232456,-0.011978730454277227,-0.0010428184886475732,0.004118469609685235,-0.007436858505639871,0.0013244450210013969,0.005253758149928686,-0.0015999536130009635,0.015515998244955866,0.018266359170905352,-0.004656040075231181,0.022445416332850996,0.0024102665393200984,-0.0076499204566169675,-0.013760789851550185,0.0071778996087377206,-0.01523320297746822,0.001337419344842349,0.003842725539442916,-0.005024062131845074,0.02190096523377823,0.0036136825817956763,0.012709311117055273
WA5_RS00035,-0.016103834708290132,-0.0072148396404260375,-0.0001871045895283921,0.00010798103209959739,0.005676326188770953,0.0027063532062549145,-0.00733420037405495,0.0027686722321916745,-0.012347036298077452,-0.0017583646803549069,-0.0030393268143183265,0.013870657433227589,0.0018588838540984246,-0.007541768659204029,-0.01617114326653697,0.002287870437601626,0.00014510894640335696,-0.010126953046544738,-0.00020851778175954325,0.0013112602372975747,-0.0018825077006189793,0.015671618977444568,0.008268092406744067,-0.015397263131946417,0.011303463703922765,0.0008116904902726387,0.002180368303183982,-0.011615743710332803,0.005474529417741684,-0.00034449801749732953,-0.0008980171908236688,-0.00579019955134113,-0.00875413368345213,0.00961636189437349,-0.004595981507432914,0.008429168357313657
WA5_RS00040,-0.02537335658176898,-0.010116425846410468,-0.009126825680165472,-0.004702105663411952,0.0031321065323311383,0.012097498166054533,0.0033292761926870386,-0.006746316910667092,-0.014926860628498668,-0.011865267715858958,0.006333720885284764,0.009983562135806845,-0.007928822969849612,-0.0016686561181032686,-0.014096714545840518,-0.011372803218520015,0.0006665154397124569,-0.005040948220697861,-0.0038982096741886586,-0.00908856497541872,0.014814112884271945,0.005182643108730617,-0.020463325809721905,-0.030156435607132364,-0.0019268696829697137,0.01881636979593821,0.0162271878705768,-0.013653619178703304,0.003744727336990276,-0.0025572814534178985,0.007643783599446803,-0.013862698324517904,0.010855236591907928,-0.014137952946494602,0.005984849175829976,0.018934124786439913
WA5_RS00045,0.04073522892781582,-0.004563202926851446,-0.00842362411868143,0.011365484241749766,0.10983936302177721,0.01579132037021059,-0.027725560205340033,0.01397820412135837,0.02628794599401484,0.0043606969823576334,-0.016862039355267904,-0.0058782489102127055,0.0006506460644373273,-0.005564404134756951,-0.0059436379886968985,0.012061311521441721,0.0067850258280058775,0.003564387187851749,-0.0005553979305194937,-0.01911693911672755,-7.723623698543612e-05,-0.006586010077606203,-0.012351778041996232,0.010584976814761563,0.026972919277890476,0.012298475075819734,0.002310988639944299,-0.034511683909907706,0.0018497547776208621,-0.003339173949017247,-0.005339411530610231,-0.0007784044090702097,0.021869713148315522,-0.02656199085797619,-0.008698034321902186,-0.013243165377091427
WA5_RS00050,0.003726997848857468,0.008485000642539046,-0.00028798535542766884,-0.004984090153099629,0.0038583980364557385,0.01952763669965974,-0.021015204188208923,0.03144264686395224,-0.008684817072101338,0.0028855119859027474,-0.0036169085700974955,-0.01442645342160799,0.007220423087491874,-0.011335149009900484,-0.038982616929359074,0.015130364084100621,-0.016465491379296978,-0.005166716514844325,0.003909995119901084,-0.013633352838467689,-0.005933604280378989,0.011216951036367447,-0.006662065178157001,-0.013249038987333329,0.04415312239755282,0.01961374530900655,0.012392905210008482,0.0028009125096185206,0.004990416857886909,-0.004935190968493862,0.01781922912427109,-0.0009232656959343462,-0.01093861147056216,-0.013683997227639296,-0.014270970477100891,0.011864953497977889
