Geneid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
WA5_RS00005,0.001405599879923542,0.015907149960863433,-0.017999914525113243,0.015046652153992885,-0.0019357793198557195,-0.019980192893655647,-0.021676649932900197,0.0028177361330571082,0.007949982755801185,0.010737530473647587,0.00022625678165857108,-0.0050684537445541645,0.010895040096872916,-0.0032699429293672954,0.0024001815437947353,-0.007546761025746867,-0.00860541544845402,0.0064107406563170015,0.004463883135899299,0.0013335711998105578
WA5_RS00010,-0.007750808786500501,-0.002328723291110726,-0.016163649937456545,0.011937520929190336,0.001958997377958765,-0.0241778187769095,0.02836187436546424,0.005451872634853108,-0.011661079105125713,-0.0015812914581208601,-0.004755874338525045,-0.006130856799812374,-0.019839100981020038,-0.007019696768474748,-0.021605299078427457,0.010362819839757818,0.0033708319501391274,0.0025107423438939535,-0.0073659547218193535,0.003980858637403634
WA5_RS00015,-0.004421170034249505,-0.002037121982899966,-0.012949927465707133,0.0012244582044955187,-0.008760468668003226,-0.01898450944496143,0.02579826585198029,0.0019021103886477822,-0.010987104518133837,0.003337317537601643,-0.00990475749943429,-0.008601511812908736,0.0008018949551431009,-0.01129850384448909,-0.01807658845629647,0.014928967956495294,0.006971906123179378,-0.004068548915329551,-0.0023677107335753566,-0.009371823647759105
WA5_RS00020,0.000729079206248941,-0.008716558880032137,-0.02583239826915787,-0.011090877688522403,-0.0016879203962141404,-0.007035104848933383,0.024305696147949033,-0.010907464472403474,-0.008193912600447628,0.013182559114900664,-0.00247436732328301,-0.011134915228426676,0.0033292055271866776,-0.008451421843846865,-0.020986337472939334,0.010118597637845547,0.0019298741085972324,0.012495658999881174,-0.01614307283133084,-0.007239602034641935
WA5_RS00025,-0.0007564534860613918,-0.00035387670189814555,0.027457877127335318,0.021929843342560394,0.006825821695067029,-0.0017849740048160958,-0.005752159046070828,0.0025200932446674405,-0.0014590774133048311,-0.007743068756568206,-0.0035006705738310716,-0.004469749100897886,-0.010265697315787324,-0.0032272298141117505,-0.0004453526819649799,0.005049510409929692,0.0020025364652739063,-0.012470623833023074,0.012831567859101233,-0.015958453358041365
WA5_RS00030,0.0031041188136813674,-0.00913068817974455,0.0013641133358045917,-0.003898029204715823,0.01301758007465262,0.0050597941260517336,-0.009286884431544634,-0.000664103894586547,0.005975934726079779,0.0073003060513677056,0.01107391974071921,0.0033200891056403437,0.016172306532726846,-0.015718970425187592,-0.0059872364094939205,0.0036765508592232986,-0.021064577939783797,0.010327092299763115,-0.004770091155360909,-0.007697858128444237
WA5_RS00035,-0.0017601189228819872,-0.003967834481840077,-0.008788292701581919,0.0024600751373310627,0.006345014643886062,-0.0031482902073304234,-0.013188248369616747,-0.0031139799600249578,0.005448901472623042,-0.010825698466839706,0.011085103427353853,-0.010429346884311548,0.010979738915238041,-0.004591994255926213,0.00015271933338142498,-0.0018637432712586624,-0.021262540358381064,0.007437702952548908,-0.001254316625988117,0.004032642046255144
WA5_RS00040,-0.003943087598466977,-0.004934316019346598,-0.02032794643237254,-0.003998773802605005,0.009675422005887127,-0.00476307759593718,-0.009885905164530018,0.004517277991807772,-0.014451253127977147,0.020588731304159297,0.011666517664887395,-2.0352837479775976e-05,-0.01866070586822234,-0.009935868963121647,-0.006312880008537456,0.004591637223250446,-0.016597429703955682,-0.006792840257112457,0.0039282374665425305,0.030434360821172977
WA5_RS00045,-0.002318258503443782,-0.002853965433221597,-0.009015421792624115,-0.0197414882541668,-0.014031941448923134,0.005394750377347788,0.006566508459493568,0.009762611596942852,-0.045901631189618264,0.002513261478264316,-0.00032842159480658985,-0.019611758536456164,0.027869022368028986,0.07895015670738376,0.009903415385540574,0.03281942273204848,0.021105908413312138,0.0180100313473694,-0.005956463990749788,-0.0016435921841302802
WA5_RS00050,0.006250302532254297,-0.02098374688883507,-0.004560420727656564,-0.017917310806725283,-0.0009033659598654512,-0.0071123434854731115,-0.00984820280639074,0.012822924318197228,-0.00803601254581172,0.011591029802216093,0.0011470873821833448,-0.00879591297369558,0.04024590309924322,0.014166796725233917,-0.0009451836057312557,-0.01622897338709822,-0.01477360655386464,0.014391388289425162,0.007430347861410411,0.0122982588349074
